Date,Type,S0,K,T,r,sigma,Close Price,LTP,MC Price,MC StdErr,Error vs Close,Error vs LTP,Percent Error vs Close,Percent Error vs LTP
2025-11-12,PE,25875.8,26500.0,34.0,0.1,0.074744859001316,533.05,533.05,423.71127099595384,15.192222839672255,-109.33872900404612,-109.33872900404612,-20.5119086397235,-20.5119086397235
2025-11-12,CE,25875.8,25900.0,34.0,0.1,0.074744859001316,468.9,468.9,448.94136308654396,16.107575645169643,-19.95863691345602,-19.95863691345602,-4.256480467787592,-4.256480467787592
2025-11-12,CE,25875.8,27450.0,34.0,0.1,0.074744859001316,21.0,20.0,14.572274256325185,2.7071862527564745,-6.427725743674815,-5.427725743674815,-30.608217827022926,-27.138628718374076
2025-11-12,CE,25875.8,26200.0,34.0,0.1,0.074744859001316,286.75,286.75,298.9056090999798,13.357726336013066,12.155609099979813,12.155609099979813,4.239096460324259,4.239096460324259
2025-11-12,CE,25875.8,25800.0,34.0,0.1,0.074744859001316,505.5,504.8,514.5966577390291,17.509435463622985,9.09665773902907,9.796657739029058,1.7995366447139602,1.9407008199344409
2025-11-12,CE,25875.8,26500.0,34.0,0.1,0.074744859001316,160.8,158.35,179.23246127593134,10.486215719927367,18.43246127593133,20.882461275931348,11.462973430305553,13.18753474956195
2025-11-12,CE,25875.8,26350.0,34.0,0.1,0.074744859001316,222.35,222.35,221.14262610532273,11.649836283093656,-1.2073738946772608,-1.2073738946772608,-0.5430060241408864,-0.5430060241408864
2025-11-12,PE,25875.8,25600.0,34.0,0.1,0.074744859001316,151.85,155.5,82.02607646407722,7.062570222008817,-69.82392353592277,-73.47392353592278,-45.98216894035086,-47.25011159866417
2025-11-12,PE,25875.8,25000.0,34.0,0.1,0.074744859001316,60.4,63.05,8.538619813325294,1.8867603574463436,-51.86138018667471,-54.5113801866747,-85.86321222959388,-86.45738332541586
2025-11-12,PE,25875.8,25700.0,34.0,0.1,0.074744859001316,182.95,185.0,98.80532100583427,7.454974449342103,-84.14467899416572,-86.19467899416573,-45.99326536986374,-46.591718375224715
2025-11-12,CE,25875.8,26100.0,34.0,0.1,0.074744859001316,334.35,334.35,351.5805236417903,14.928101126130823,17.230523641790285,17.230523641790285,5.153439103272105,5.153439103272105
2025-11-12,CE,25875.8,25850.0,34.0,0.1,0.074744859001316,451.6,451.6,531.1961131925287,17.711251868162265,79.59611319252872,79.59611319252872,17.625357217123277,17.625357217123277
2025-11-12,PE,25875.8,25900.0,34.0,0.1,0.074744859001316,242.65,250.0,156.53043648561777,9.648366281906846,-86.11956351438224,-93.46956351438223,-35.49126870570049,-37.38782540575289
2025-11-12,PE,25875.8,24000.0,34.0,0.1,0.074744859001316,25.55,25.55,0.0,0.0,-25.55,-25.55,-100.0,-100.0
2025-11-12,PE,25875.8,26000.0,34.0,0.1,0.074744859001316,292.25,288.6,188.64169062702865,10.975729280781719,-103.60830937297135,-99.95830937297137,-35.45194503780029,-34.63558883332341
2025-11-12,PE,25875.8,25850.0,34.0,0.1,0.074744859001316,230.15,233.0,146.60188035245076,9.638376992504373,-83.54811964754924,-86.39811964754924,-36.30159445906984,-37.08073804615847
2025-11-12,CE,25875.8,26000.0,34.0,0.1,0.074744859001316,396.55,390.7,412.7308967262982,15.308480384765184,16.180896726298215,22.030896726298238,4.080417784969919,5.638826907166173
2025-11-13,PE,25879.15,25400.0,33.0,0.1,0.0745315652220664,121.3,118.75,39.72615518486576,4.527790614970815,-81.57384481513424,-79.02384481513424,-67.24966596466136,-66.54639563379725
2025-11-13,PE,25879.15,25300.0,33.0,0.1,0.0745315652220664,106.0,106.0,32.574913303747,3.9984552801246083,-73.425086696253,-73.425086696253,-69.26894971344623,-69.26894971344623
2025-11-13,PE,25879.15,26050.0,33.0,0.1,0.0745315652220664,307.4,308.45,204.6088864631763,10.779050383137712,-102.79111353682367,-103.84111353682368,-33.43887883436034,-33.66546070248782
