Date,Type,S0,K,T,sigma,r,Close Price,LTP,BSM Price,Error vs Close,Error vs LTP,Percent Error vs Close,Percent Error vs LTP,Implied Volatility,Delta,Gamma,Vega,Rho,Theta
2025-11-12,PE,25875.8,26500.0,34.0,0.07474485900131601,0.1,533.05,533.05,439.4,-93.65,-93.65,-17.56871,-17.56871,0.10065,-0.6417175564272267,0.0005257436652297637,3549.9425370221834,-2299.634588608592,721.1163935141727
2025-11-12,CE,25875.8,25900.0,34.0,0.07474485900131601,0.1,468.9,468.9,472.04,3.14,3.14,0.66965,0.66965,0.07382,0.6812170013259412,0.0005025765179036405,3393.5126127195813,2314.5626792009984,-2655.487642859887
2025-11-12,CE,25875.8,27450.0,34.0,0.07474485900131601,0.1,21.0,20.0,14.65,-6.35,-5.35,-30.2381,-26.75,0.07975,0.04988857015869084,0.00014491779880579126,978.5184156759605,172.19285121948127,-398.6706381757991
2025-11-12,CE,25875.8,26200.0,34.0,0.07474485900131601,0.1,286.75,286.75,296.92,10.17,10.17,3.54664,3.54664,0.07206,0.520591290000714,0.0005608112969354126,3786.727277757207,1777.4166319590613,-2366.286384657962
2025-11-12,CE,25875.8,25800.0,34.0,0.07474485900131601,0.1,505.5,504.8,540.73,35.23,35.93,6.96934,7.11767,0.06293,0.7297335736394559,0.0004656532070492221,3144.1978981951384,2474.674845070233,-2705.0999204690133
2025-11-12,CE,25875.8,26500.0,34.0,0.07474485900131601,0.1,160.8,158.35,170.33,9.53,11.98,5.92662,7.56552,0.07136,0.3582824435727733,0.0005257436652297637,3549.9425370221834,1227.8467222521342,-1893.3697545355421
2025-11-12,CE,25875.8,26350.0,34.0,0.07474485900131601,0.1,222.35,222.35,227.63,5.28,5.28,2.37463,2.37463,0.07333,0.4378990197412126,0.0005547420063959313,3745.74602761464,1498.0720112654883,-2147.891096431723
2025-11-12,PE,25875.8,25600.0,34.0,0.07474485900131601,0.1,151.85,155.5,72.88,-78.97,-82.62,-52.00527,-53.13183,0.10388,-0.18527094660970783,0.00037607721956659824,2539.3601620688014,-656.6467140227508,-216.70063477405938
2025-11-12,PE,25875.8,25000.0,34.0,0.07474485900131601,0.1,60.4,63.05,11.34,-49.06,-51.71,-81.22517,-82.01427,0.11223,-0.03926384982429148,0.00011948145848157768,806.766376659692,-138.60728939456683,-120.73831853327232
2025-11-12,PE,25875.8,25700.0,34.0,0.07474485900131601,0.1,182.95,185.0,93.88,-89.07,-91.12,-48.68543,-49.25405,0.10426,-0.22558756169000793,0.00042278708375429846,2854.755942835802,-800.2336442713149,-197.6406411352109
2025-11-12,CE,25875.8,26100.0,34.0,0.07474485900131601,0.1,334.35,334.35,349.93,15.58,15.58,4.65979,4.65979,0.07056,0.5757074013602571,0.0005514172218659982,3723.296315312192,1962.6843481730766,-2486.0323557525244
2025-11-12,CE,25875.8,25850.0,34.0,0.07474485900131601,0.1,451.6,451.6,505.78,54.18,54.18,11.99734,11.99734,0.0575,0.7059143329248452,0.00048498265588100463,3274.7147967585292,2396.233478268816,-2683.113638743598
2025-11-12,PE,25875.8,25900.0,34.0,0.07474485900131601,0.1,242.65,250.0,149.14,-93.51,-100.86,-38.53699,-40.344,0.10361,-0.3187829986740588,0.0005025765179036405,3393.5126127195813,-1133.0511302817492,-100.19740759620333
2025-11-12,PE,25875.8,24000.0,34.0,0.07474485900131601,0.1,25.55,25.55,0.11,-25.44,-25.44,-99.56947,-99.56947,0.14432,-0.0005848535909201375,2.89192302656364e-06,19.52693155381267,-2.0568802005288997,-3.884363967857336
2025-11-12,PE,25875.8,26000.0,34.0,0.07474485900131601,0.1,292.25,288.6,184.12,-108.13,-104.48,-36.99914,-36.20236,0.10345,-0.37041859713419334,0.0005316692648080252,3589.9535526395343,-1318.0395056053446,-17.501663088914142
2025-11-12,PE,25875.8,25850.0,34.0,0.07474485900131601,0.1,230.15,233.0,133.55,-96.6,-99.45,-41.97263,-42.6824,0.10394,-0.2940856670751548,0.00048498265588100463,3274.7147967585292,-1044.7247060991,-132.75639621208393
2025-11-12,CE,25875.8,26000.0,34.0,0.07474485900131601,0.1,396.55,390.7,408.36,11.81,17.66,2.97819,4.52009,0.06981,0.6295814028658067,0.0005316692648080252,3589.9535526395343,2142.885554107066,-2582.6578838169357
2025-11-13,PE,25879.15,25400.0,33.0,0.07453156522206643,0.1,121.3,118.75,40.27,-81.03,-78.48,-66.80132,-66.08842,0.10871,-0.11664528872666047,0.00028090866912568814,1836.1949929952057,-400.5775011391269,-216.63976722065462
2025-11-13,PE,25879.15,25300.0,33.0,0.07453156522206643,0.1,106.0,106.0,29.61,-76.39,-76.39,-72.06604,-72.06604,0.11159,-0.09041803188664432,0.00023345809175443895,1526.0283012551401,-310.2983905659718,-197.31447178235814
2025-11-13,PE,25879.15,26050.0,33.0,0.07453156522206643,0.1,307.4,308.45,201.57,-105.83,-106.88,-34.42746,-34.65067,0.10384,-0.3993442382666379,0.0005532713125732422,3616.5278098281756,-1379.7486517162529,24.452598574567446
2025-11-13,PE,25879.15,25750.0,33.0,0.07453156522206643,0.1,214.9,214.9,103.76,-111.14,-111.14,-51.71708,-51.71708,0.1095,-0.24682613455331054,0.00045218639727284324,2955.7734944856043,-850.0662918338901,-191.99790890940938
2025-11-13,CE,25879.15,26500.0,33.0,0.07453156522206643,0.1,157.65,152.8,163.28,5.63,10.48,3.5712,6.85864,0.07151,0.35198406067754584,0.000531755637511656,3475.8878824739954,1171.4696777524412,-1883.7278726039042
