Date,Close,Open,High,Low
2025-11-12,25875.8,25834.3,25934.55,25781.15
2025-11-13,25879.15,25906.1,26010.7,25808.4
2025-11-14,25910.05,25767.9,25940.2,25740.8
2025-11-17,26013.45,25948.2,26024.2,25906.35
2025-11-18,25910.05,26021.8,26029.85,25876.5
2025-11-19,26052.65,25918.1,26074.65,25856.2
2025-11-20,26192.15,26132.1,26246.65,26063.2
2025-11-21,26068.15,26109.55,26179.2,26052.2
2025-11-24,25959.5,26122.8,26142.8,25912.15
2025-11-25,25884.8,25998.5,26032.6,25857.5
2025-11-26,26205.3,25842.95,26215.15,25842.95
2025-11-27,26215.55,26261.25,26310.45,26141.9
2025-11-28,26202.95,26237.45,26280.75,26172.4
2025-12-01,26175.75,26325.8,26325.8,26124.2
2025-12-02,26032.2,26087.95,26154.6,25997.85
2025-12-03,25986.0,26004.9,26066.45,25891.0
2025-12-04,26033.75,25981.85,26098.25,25938.95
2025-12-05,26186.45,25999.8,26202.6,25985.35
2025-12-08,25960.55,26159.8,26178.7,25892.25
2025-12-09,25839.65,25867.1,25923.65,25728.0
2025-12-10,25758.0,25864.05,25947.65,25734.55
2025-12-11,25898.55,25771.4,25922.8,25693.25
2025-12-12,26046.95,25971.2,26057.6,25938.45
2025-12-15,26027.3,25930.05,26047.15,25904.75
2025-12-16,25860.1,25951.5,25980.75,25834.35
